	text_a	text_b	label
6823	Multiple diverticula in the descending and sigmoid colon, some with adherent clot.	 Colon appeared unremarkable	contradiction
6824	Multiple diverticula in the descending and sigmoid colon, some with adherent clot.	 The patient complains of rectal hemorrhage	neutral
6825	She was diagnosed with sarcoid via a right thoracoscopic biopsy.	 The patient has an autoimmune disease. 	entailment
6828	Following bolus of propofol for sedation, bp dropped to SBP 80.	 The propofol caused the blood pressure to drop. 	entailment
6831	Blood and urine cultures from this admission were pending.	 Suspected infection	entailment
6834	HISTORY OF PRESENT ILLNESS:  55 year old female status post cadaver kidney transplant [**2758-1-16**], complicated by delayed graft function, seen in the office by Dr. [**Last Name (STitle) **] [**2758-1-27**].	 Patient has CKD	entailment
6835	HISTORY OF PRESENT ILLNESS:  55 year old female status post cadaver kidney transplant [**2758-1-16**], complicated by delayed graft function, seen in the office by Dr. [**Last Name (STitle) **] [**2758-1-27**].	 Patient has normal Cr	contradiction
6836	HISTORY OF PRESENT ILLNESS:  55 year old female status post cadaver kidney transplant [**2758-1-16**], complicated by delayed graft function, seen in the office by Dr. [**Last Name (STitle) **] [**2758-1-27**].	 Patient is on steroids	neutral
6837	The mother received RhoGAM at 28 weeks gestation.	 The mother received Rho(D) immune globulin	entailment
6838	The mother received RhoGAM at 28 weeks gestation.	 The mother did no receive Rho(D) immune globulin	contradiction
6839	The mother received RhoGAM at 28 weeks gestation.	 Pregnancy was uncomplicated	neutral
6840	Each admission makes note of a completely negative workup including negative cardiac enzymes, no ECG changes, and CT scans which show no evidence of nephrolithiasis.	 The patient has multiple visits to the hospital/emergency department. 	entailment
6842	Each admission makes note of a completely negative workup including negative cardiac enzymes, no ECG changes, and CT scans which show no evidence of nephrolithiasis.	 The patient has chronic pain conditions. 	neutral
6843	Anthropometric measurements at the time of birth: Weight 3.080 kg, 50 to 75th percentile.	 The patient has normal birth weight	entailment
6844	Anthropometric measurements at the time of birth: Weight 3.080 kg, 50 to 75th percentile.	 the patient has low birth weight	contradiction
6846	The next episode occurred when she was playing cards and she transiently lost vision in the right half of space.	 the patient had transient visual field defects 	entailment
6847	The next episode occurred when she was playing cards and she transiently lost vision in the right half of space.	 the patient has no neurologic symptoms	contradiction
6848	The next episode occurred when she was playing cards and she transiently lost vision in the right half of space.	 the patient had a TIA	neutral
6849	This is a 33-year-old gravida 4, para 1, 0, 3, 1, who preoperatively voiced understanding of her gyn pathology and agreed to the risks of the surgical procedure which included transfusions.	 She will undergo surgery for a gyn issue	entailment
6850	This is a 33-year-old gravida 4, para 1, 0, 3, 1, who preoperatively voiced understanding of her gyn pathology and agreed to the risks of the surgical procedure which included transfusions.	 She declined surgery	contradiction
6851	This is a 33-year-old gravida 4, para 1, 0, 3, 1, who preoperatively voiced understanding of her gyn pathology and agreed to the risks of the surgical procedure which included transfusions.	 History of pelvic pain	neutral
6853	PAST MEDICAL HISTORY:  Remarkable for asthma.	 the patient does not have asthma	contradiction
6854	PAST MEDICAL HISTORY:  Remarkable for asthma.	 the patient uses inhalers	neutral
6858	Presbyacusis with severe hearing impairment 11.	 The patient has hearing loss. 	entailment
6859	Presbyacusis with severe hearing impairment 11.	 The patient has normal hearing in both ears. 	contradiction
6862	He was managed overnight in the emergency department with nebulizers, high-dose steroids, antibiotics including PCP coverage and was taken on the following day to the OR, by CT Surgery, for open-lung biopsy to take samples of the right lower lobe and right middle lobe.	 He has normal lung function	contradiction
6866	2 unit PRBCs transfused. .	 there is a gi bleed	neutral
6867	The patient also began to have some diarrhea.	 The patient has frequent bowel movements	entailment
6868	The patient also began to have some diarrhea.	 Normal GI function	contradiction
6871	Further evaluation included an echocardiogram which showed no significant valvular disease and a carotid ultrasound which showed normal internal carotid arteries.	 The patient has aortic stenosis. 	contradiction
6872	Further evaluation included an echocardiogram which showed no significant valvular disease and a carotid ultrasound which showed normal internal carotid arteries.	 The patient is being worked up after a stroke. 	neutral
6875	He described the pain as constant sharp [**5-1**] epigastric pain with no radiation.	 The patient has an ulcer. 	neutral
6877	In the ED, he was noted to have a Tc of 103.8 (rectally), HR 134, BP 124/74, RR 42, SaO2 88%/NRB.	 Vitals were within normal limits	contradiction
6880	HISTORY OF PRESENT ILLNESS:  The patient is a 63-year old female with a past medical history of stage III lung cancer (status post chemotherapy, XRT, and left pneumonectomy in [**2936-3-12**]), left lower extremity DVT, hypertension, atrial fibrillation, and recent C. difficile colitis.	 the patien thas no medical history	contradiction
6881	HISTORY OF PRESENT ILLNESS:  The patient is a 63-year old female with a past medical history of stage III lung cancer (status post chemotherapy, XRT, and left pneumonectomy in [**2936-3-12**]), left lower extremity DVT, hypertension, atrial fibrillation, and recent C. difficile colitis.	 the patient is on oral vancomycin	neutral
6882	Her latest echocardiogram at [**Hospital1 810**] on [**3284-8-15**], revealed an ejection fraction of greater than 65%, mild LAE, mild symmetrical left ventricular hypertrophy with normal cavity size and regular wall motion; mild thickened atrial valve and mitral valve leaflets; moderate pulmonary hypertension; small to moderate pericardial effusion predominantly over the right ventricle.	 The patient has normal cardiac output.	entailment
6883	Her latest echocardiogram at [**Hospital1 810**] on [**3284-8-15**], revealed an ejection fraction of greater than 65%, mild LAE, mild symmetrical left ventricular hypertrophy with normal cavity size and regular wall motion; mild thickened atrial valve and mitral valve leaflets; moderate pulmonary hypertension; small to moderate pericardial effusion predominantly over the right ventricle.	 The patient has no pericardial effusion.	contradiction
6884	Her latest echocardiogram at [**Hospital1 810**] on [**3284-8-15**], revealed an ejection fraction of greater than 65%, mild LAE, mild symmetrical left ventricular hypertrophy with normal cavity size and regular wall motion; mild thickened atrial valve and mitral valve leaflets; moderate pulmonary hypertension; small to moderate pericardial effusion predominantly over the right ventricle.	 The patient has a history of myocardial infarction.	neutral
6887	An echocardiogram on [**3264-1-25**] with depressed left ventricular systolic function with an ejection fraction of 20%.	 The patient has coronary artery disease.	neutral
6889	In [**5-/3433**] he had a cipher stent to the RCA.	 the patient has normal coronary arteries	contradiction
6892	He was started on heparin and had ventricular fibrillation.	 He has normal cardiac rhythm	contradiction
6893	He was started on heparin and had ventricular fibrillation.	 He has a history of myocardial infarction	neutral
6896	Pt received 2 units of blood.	 the patient is bleeding	neutral
6897	He does not wish to go back to home with wife.	 The patient does not want to return home.	entailment
6899	He does not wish to go back to home with wife.	 The patient has an unsafe home environment.	neutral
6900	He received two laser surgery treatments in the right eye.	 Patient has lens correction surgery history	entailment
6901	He received two laser surgery treatments in the right eye.	 Patient has normal eye exam	contradiction
6902	He received two laser surgery treatments in the right eye.	 Patient has poor long distance visions	neutral
6903	The patient was scheduled for elective innominate artery reconstruction.	 the patient is undergoing an inominate artery reconstruction	entailment
6907	Afib s/p TTE cardioversion [**3-/2808**]	 Patient has not had an intervention	contradiction
6908	Afib s/p TTE cardioversion [**3-/2808**]	 Patient has palpitations	neutral
6911	The patient is now evaluated in the Emergency Room and admitted to the vascular service, ICU, for continued care.	 Patient has CAD	neutral
6912	She was admitted to the ICU for non-invasive ventilation, which she could not tolerate; she was subsequently intubated.	 the patient is intubated	entailment
6913	She was admitted to the ICU for non-invasive ventilation, which she could not tolerate; she was subsequently intubated.	 the patient is on room air	contradiction
6914	She was admitted to the ICU for non-invasive ventilation, which she could not tolerate; she was subsequently intubated.	 the patient is obese	neutral
6915	Subdural hematoma s/p craniotomy ([**6-/3497**]) w/ residual left-sided hemiparesis.	 the patient had intracranial hemorrhage	entailment
6917	Subdural hematoma s/p craniotomy ([**6-/3497**]) w/ residual left-sided hemiparesis.	 the patient was in an MVA	neutral
6919	Apgars were 7 at one minute and 8 at five minutes.	 Apgars were critically low 	contradiction
6921	History of seizures secondary to work related head     injury.	 History of head trauma	entailment
6922	History of seizures secondary to work related head     injury.	 No history of head trauma	contradiction
